group: XeBuyt

TRAMDUNG = {
MaTD:number, TenTram:string, Loai:string, DiaDiem:string
171,'Cay xang Hiep Thanh','Tru dung','46/8 Nguyen Anh Thu, Quan 12'
172,'Cua hang Ngoc Son','O son','86H Nguyen Anh Thu, Quan 12'
173,'Cong an Hiep Thanh','Tru dung','425 Nguyen Anh Thu, Quan 12'
174,'Ngan hang Agribank','Tru dung','296 Nguyen Anh Thu, Quan 12'
175,'Hiep Thanh','Ben xe','BAI XE HIEP THANH Nguyen Anh Thu, Quan 12'
}

DVVANHANH = {
MaDV:number, TenDonVi:string
1,'Cong ty TNHH Du lich, Dich vu Xay dung Bao Yen (Bao Yen Group)'
2,'HTX Van tai 19/5'
3,'HTX Van tai Xe buyt Quyet Thang'
4,'Cong ty Co phan Xe khach Sai Gon (SaigonBus)'
5,'Lien hiep HTX Van tai Thanh pho'
6,'HTX Van tai so 28'
}

TUYENBUYT = {
MaTB:number, TenTuyen:string, CuLy:number, SoChuyen:number, MaDV:number
1,'Ben Thanh - BX Cho Lon',8900,240,1
3,'Ben Thanh - Thanh Loc',20600,312,2
4,'Ben Thanh - BX An Suong',16420,303,1
6,'BX Cho Lon - Truong Dai hoc Nong Lam',26500,190,3
7,'BX Cho Lon - Go Vap',15500,150,4
18,'Ben Thanh - Cho Hiep Thanh',22730,200,2
}

LOTRINH = {
MaTB:number, ThuTuTram:number, MaTD:number
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
1,6,6
1,7,7
1,8,8
1,9,9
1,10,10
1,11,11
1,12,12
1,13,13
1,14,14
1,15,15
1,16,16
1,17,17
1,18,18
1,19,19
1,20,20
1,21,21
1,22,22
1,23,23
1,24,24
1,25,25
1,26,26
1,27,27
1,28,28
1,29,29
3,1,30
3,2,31
3,3,32
3,4,33
3,5,34
3,6,35
3,7,36
3,8,37
3,9,38
3,10,39
3,11,40
3,12,41
3,13,42
3,14,43
3,15,44
3,16,45
3,17,46
3,18,47
3,19,48
3,20,49
3,21,50
3,22,51
3,23,52
3,24,53
3,25,54
3,26,55
3,27,56
3,28,57
3,29,58
3,30,59
3,31,60
3,32,61
3,33,62
3,34,63
3,35,64
3,36,65
3,37,66
3,38,67
3,39,68
3,40,69
3,41,70
3,42,71
3,43,72
3,44,73
3,45,74
3,46,75
3,47,76
3,48,77
4,1,30
4,2,31
4,3,32
4,4,33
4,5,78
4,6,35
4,7,36
4,8,79
4,9,80
4,10,81
4,11,82
4,12,83
4,13,84
4,14,85
4,15,86
4,16,87
4,17,88
4,18,89
4,19,90
4,20,91
4,21,92
4,22,93
4,23,94
4,24,95
4,25,96
4,26,97
4,27,98
4,28,99
4,29,100
4,30,101
4,31,102
4,32,103
4,33,104
4,34,105
4,35,106
4,36,107
4,37,108
4,38,109
4,39,110
4,40,111
4,41,112
4,42,113
4,43,114
4,44,115
4,45,116
4,46,117
4,47,118
4,48,119
4,49,120
4,50,121
18,1,30
18,2,31
18,3,32
18,4,33
18,5,122
18,6,35
18,7,36
18,8,79
18,9,80
18,10,81
18,11,82
18,12,123
18,13,124
18,14,125
18,15,126
18,16,127
18,17,128
18,18,129
18,19,130
18,20,131
18,21,132
18,22,133
18,23,134
18,24,135
18,25,136
18,26,137
18,27,138
18,28,139
18,29,140
18,30,141
18,31,142
18,32,143
18,33,144
18,34,145
18,35,146
18,36,147
18,37,148
18,38,149
18,39,150
18,40,151
18,41,152
18,42,153
18,43,154
18,44,155
18,45,156
18,46,157
18,47,158
18,48,159
18,49,160
18,50,161
18,51,162
18,52,163
18,53,164
18,54,165
18,55,166
18,56,167
18,57,168
18,58,169
18,59,170
18,60,171
18,61,172
18,62,173
18,63,174
18,64,175
}
